Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район
База/склад/производство;Продажа;1,4;150000;107142,86;Активный;Рощино мкр.
База/склад/производство;Продажа;1,4;278000;198571,43;Активный;Рощино мкр.
База/склад/производство;Продажа;1,6;180000;112500;Активный;Рощино мкр.
База/склад/производство;Продажа;1,8;260000;144444,45;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;1,9;350000;184210,53;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;1,98;290000;146464,65;Активный;Червишевский тракт мкр.
База/склад/производство;Продажа;2;250000;125000;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;2;250000;125000;Активный;Тюменский 3-й мкр.
База/склад/производство;Продажа;2;290000;145000;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,1;255000;121428,58;Активный;5-й Заречный мкр
База/склад/производство;Продажа;2,11;250000;118483,42;Активный;ДОК
База/склад/производство;Продажа;2,2;250000;113636,36;Активный;2-й Заречный мкр
База/склад/производство;Продажа;2,2;265000;120454,54;Активный;5-й Заречный мкр
База/склад/производство;Продажа;2,29;550000;240174,68;Активный;Центр: Драмтеатр
База/склад/производство;Продажа;2,3;220000;95652,18;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,32;245000;105603,45;Активный;Червишевский тракт мкр.
База/склад/производство;Продажа;2,3899999;530000;221757,33;Активный;Центр: Драмтеатр
База/склад/производство;Продажа;2,4;235000;97916,66;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,4;260000;108333,33;Активный;5-й Заречный мкр
База/склад/производство;Продажа;2,4;285000;118750;Активный;5-й Заречный мкр
База/склад/производство;Продажа;2,4;295000;122916,66;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,4;320000;133333,33;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,4;370000;154166,66;Активный;Центр: КПД
База/склад/производство;Продажа;2,41;350000;145228,21;Активный;Европейский мкр.
База/склад/производство;Продажа;2,5;250000;100000;Активный;микрорайон ДОК
База/склад/производство;Продажа;2,5;260000;104000;Активный;микрорайон ДОК
База/склад/производство;Продажа;2,5;290000;116000;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,5;300000;120000;Активный;Европейский мкр.
База/склад/производство;Продажа;2,5;345000;138000;Активный;3-й Заречный мкр
База/склад/производство;Продажа;2,5;450000;180000;Активный;Центр: Исторический
База/склад/производство;Продажа;2,51;450000;179282,87;Активный;Центр: Дом печати
База/склад/производство;Продажа;2,54;393000;154724,41;Активный;Центр: КПД
База/склад/производство;Продажа;2,56;270000;105468,75;Активный;ДОК
База/склад/производство;Продажа;2,6;230000;88461,54;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,6;250000;96153,85;Активный;Заречный мкр.
База/склад/производство;Продажа;2,6;250000;96153,85;Активный;Плеханово
База/склад/производство;Продажа;2,6;289000;111153,85;Активный;Лесобаза мкр.
База/склад/производство;Продажа;2,6;300000;115384,62;Активный;Восточный 3 мкр.
База/склад/производство;Продажа;2,6;330000;126923,08;Активный;Плеханово
База/склад/производство;Продажа;2,6;380000;146153,85;Активный;Европейский мкр.
База/склад/производство;Продажа;2,6;450000;173076,93;Активный;Червишевский тракт мкр.
База/склад/производство;Продажа;2,63;290000;110266,15;Активный;Центр: КПД
База/склад/производство;Продажа;2,63;580000;220532,31;Активный;Центр: Дом печати
База/склад/производство;Продажа;2,68;389000;145149,25;Активный;Центр: КПД
База/склад/производство;Продажа;2,7;210000;77777,78;Активный;Комарово Парк мкр.
База/склад/производство;Продажа;2,7;250000;92592,59;Активный;Рощино мкр.
База/склад/производство;Продажа;2,7;280000;103703,7;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,7;280000;103703,7;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,7;290000;107407,41;Активный;микрорайон ДОК
База/склад/производство;Продажа;2,7;340000;125925,92;Активный;Восточный 3 мкр.
База/склад/производство;Продажа;2,7;340000;125925,92;Активный;Червишевский тракт мкр.
База/склад/производство;Продажа;2,7;345000;127777,78;Активный;Рощино мкр.
База/склад/производство;Продажа;2,7;345000;127777,78;Активный;Тюменская слобода мкр.
База/склад/производство;Продажа;2,7;350000;129629,63;Активный;Восточный 3 мкр.
База/склад/производство;Продажа;2,7;350000;129629,63;Активный;Дом Обороны
База/склад/производство;Продажа;2,7;360000;133333,33;Активный;Восточный 3 мкр.
База/склад/производство;Продажа;2,7;380000;140740,74;Активный;Заречный мкр.
База/склад/производство;Продажа;2,7;390000;144444,44;Активный;5-й Заречный мкр
