Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район
Свободного назначения;Продажа;1955;164378496;84081,07;На задатке/Бронь;Центр: Исторический
Торговое помещение;Продажа;386,6;50000000;129332,64;На задатке/Бронь;Московский тракт мкр.
Офисное помещение;Продажа;22;45000000;2045454,55;На задатке/Бронь;Плеханово
Коммерческий участок;Продажа;null;42000000;null;На задатке/Бронь;Восточный р-н
Офисное помещение;Продажа;232,5;42000000;180645,16;На задатке/Бронь;Лесобаза мкр.
Свободного назначения;Продажа;802;35000000;43640,9;На задатке/Бронь;Червишевский тракт мкр.
Торговое помещение;Продажа;281,6;33000000;117187,5;На задатке/Бронь;Московский тракт мкр.
Торговое помещение;Продажа;204,1;20500000;100440,96;На задатке/Бронь;Червишевский тракт мкр.
Коммерческий участок;Продажа;1256;15000000;11942,68;На задатке/Бронь;микрорайон Зарека
Офисное помещение;Продажа;124,8;14000000;112179,48;На задатке/Бронь;Центр: Исторический
Офисное помещение;Продажа;149,9;13500000;90060,04;На задатке/Бронь;Тюменский 3-й мкр.
Торговое помещение;Продажа;90,1;13000000;144284,13;На задатке/Бронь;Маяк мкр.
Торговое помещение;Продажа;58,3;12988800;222792,46;На задатке/Бронь;Комарово Парк мкр.
Торговое помещение;Продажа;62,3;11150000;178972,71;На задатке/Бронь;Дом Обороны
Офисное помещение;Продажа;292,5;8000000;27350,43;На задатке/Бронь;3-й Заречный мкр
Торговое помещение;Продажа;44,7;6900000;154362,41;На задатке/Бронь;Тюменский 1-й мкр.
Свободного назначения;Продажа;49,2;6750000;137195,12;На задатке/Бронь;Центр: Исторический
Офисное помещение;Продажа;39,8;6700000;168341,71;На задатке/Бронь;3 мкр
Свободного назначения;Продажа;79,1;6500000;82174,46;На задатке/Бронь;2-й Заречный мкр
Коммерческий участок;Продажа;50;5850000;117000;На задатке/Бронь;Центр: Исторический
Свободного назначения;Продажа;28,8;5000000;173611,12;На задатке/Бронь;Дом Обороны
Офисное помещение;Продажа;926,8;4662000;5030,21;На задатке/Бронь;Центр: КПД
Офисное помещение;Продажа;16,9;3650400;216000;На задатке/Бронь;Центр: КПД
Свободного назначения;Продажа;35;3550000;101428,57;На задатке/Бронь;Центр: КПД
Офисное помещение;Продажа;16,9;3348000;198106,51;На задатке/Бронь;Центр: Исторический
Офисное помещение;Продажа;649,1;3200000;4929,9;На задатке/Бронь;Центр: Исторический
Офисное помещение;Продажа;19,1;2426000;127015,7;На задатке/Бронь;1-й Заречный мкр
Свободного назначения;Продажа;148,8;1500000;10080,64;На задатке/Бронь;Мыс мкр.
Торговое помещение;Продажа;14,2;1500000;105633,8;На задатке/Бронь;Центр: Исторический
База/склад/производство;Продажа;15;950000;63333,33;На задатке/Бронь;Ожогино
База/склад/производство;Продажа;4,2;650000;154761,91;На задатке/Бронь;5-й Заречный мкр
База/склад/производство;Продажа;7,7;600000;77922,08;На задатке/Бронь;Тюменская слобода мкр.
База/склад/производство;Продажа;4,7;550000;117021,28;На задатке/Бронь;МЖК
База/склад/производство;Продажа;4,3;400000;93023,25;На задатке/Бронь;Тюменская слобода мкр.
База/склад/производство;Продажа;5,2;380000;73076,93;На задатке/Бронь;Заречный мкр.
База/склад/производство;Продажа;2,6;350000;134615,39;На задатке/Бронь;3-й Заречный мкр
База/склад/производство;Продажа;4,6;310000;67391,31;На задатке/Бронь;Тюменская слобода мкр.
База/склад/производство;Продажа;3,5;200000;57142,86;На задатке/Бронь;Центр: Драмтеатр
База/склад/производство;Продажа;3,5;180000;51428,57;На задатке/Бронь;Центр: Драмтеатр
Всего строк;Всего строк;Всего строк;Всего строк;Всего строк;Всего строк;39
