Тип объекта;Тип заявки;Площадь;Цена;Цена за кв.метр;Статус объекта;Район;Дата закрытия заявки
База/склад/производство;Продажа;2,3;270000;117391,31;Продан;Тюменская слобода мкр.;2025-08
База/склад/производство;Продажа;2,4;230000;95833,33;Продан;ДОК;2025-11
База/склад/производство;Продажа;2,4;270000;112500;Продан;Тюменская слобода мкр.;2025-01
База/склад/производство;Продажа;2,5;200000;80000;Продан;микрорайон Мелиораторов;2025-08
База/склад/производство;Продажа;2,6;245000;94230,77;Продан;МЖК;2025-10
База/склад/производство;Продажа;2,6;300000;115384,62;Продан;Рощино мкр.;2025-05
База/склад/производство;Продажа;2,7;240000;88888,89;Продан;МЖК;2025-07
База/склад/производство;Продажа;2,7;360000;133333,33;Продан;Тюменский 3-й мкр.;2026-03
База/склад/производство;Продажа;3;282000;94000;Продан;Тюменская слобода мкр.;2025-09
База/склад/производство;Продажа;3;330000;110000;Продан;Плеханово;2026-03
База/склад/производство;Продажа;3,1;250000;80645,16;Продан;Плеханово;2025-12
База/склад/производство;Продажа;3,1;300000;96774,2;Продан;Тюменская слобода мкр.;2025-08
База/склад/производство;Продажа;3,3;220000;66666,67;Продан;Заречный мкр.;2025-05
База/склад/производство;Продажа;3,3;261000;79090,91;Продан;Дом Обороны;2025-07
База/склад/производство;Продажа;3,3;290000;87878,79;Продан;Заречный мкр.;2025-06
База/склад/производство;Продажа;3,3;350000;106060,61;Продан;Центр: Дом печати;2025-08
База/склад/производство;Продажа;3,3;370000;112121,21;Продан;микрорайон ДОК;2025-10
База/склад/производство;Продажа;3,3;400000;121212,12;Продан;Центр: Дом печати;2025-08
База/склад/производство;Продажа;3,5;330000;94285,71;Продан;Тюменский 3-й мкр.;2025-03
База/склад/производство;Продажа;3,5;350000;100000;Продан;3-й Заречный мкр;2026-02
База/склад/производство;Продажа;3,5;350000;100000;Продан;Европейский мкр.;2025-10
База/склад/производство;Продажа;3,5;375000;107142,86;Продан;5-й Заречный мкр;2025-12
База/склад/производство;Продажа;3,5;435000;124285,71;Продан;Европейский мкр.;2026-03
База/склад/производство;Продажа;3,6;250000;69444,45;Продан;ДОК;2026-02
База/склад/производство;Продажа;3,6;430000;119444,45;Продан;жилой комплекс Речной Порт;2026-01
База/склад/производство;Продажа;3,7;259000;70000;Продан;Дом Обороны;2025-03
База/склад/производство;Продажа;3,7;350000;94594,59;Продан;Лесобаза мкр.;2026-02
База/склад/производство;Продажа;3,9;300000;76923,08;Продан;ДОК;2025-11
База/склад/производство;Продажа;3,9;550000;141025,64;Продан;Центр: КПД;2025-01
База/склад/производство;Продажа;4;430000;107500;Продан;Центр: КПД;2025-04
База/склад/производство;Продажа;4,2;525000;125000,01;Продан;Тюменская слобода мкр.;2025-02
База/склад/производство;Продажа;4,2;550000;130952,39;Продан;МЖК;2026-01
