deal_type,obj_type,district,count,share_pct,grade,rank
аренда,База/склад/производство,null,65,19.4,A+,1
аренда,База/склад/производство,Гилевская Роща,28,8.4,A+,2
аренда,База/склад/производство,Центр: Студгородок,15,4.5,A+,3
аренда,База/склад/производство,район пос. Антипино,14,4.2,A+,4
аренда,База/склад/производство,Центр: Исторический,12,3.6,A+,5
аренда,База/склад/производство,Дом Обороны,12,3.6,A+,6
аренда,База/склад/производство,Лесобаза мкр.,11,3.3,A+,7
аренда,База/склад/производство,микрорайон Матмасы,9,2.7,A+,8
аренда,База/склад/производство,Антипино мкр.,9,2.7,A,9
аренда,База/склад/производство,ДОК,9,2.7,A,10
аренда,База/склад/производство,Бабарынка,9,2.7,A,11
аренда,База/склад/производство,микрорайон Парфёново,8,2.4,A,12
аренда,База/склад/производство,Червишевский тракт мкр.,7,2.1,A,13
аренда,База/склад/производство,Центр: Драмтеатр,7,2.1,A,14
аренда,База/склад/производство,Московский тракт мкр.,7,2.1,A,15
аренда,База/склад/производство,Тарманы мкр.,7,2.1,A,16
аренда,База/склад/производство,Винзили рп.,6,1.8,A,17
аренда,База/склад/производство,Центр: КПД,6,1.8,A,18
аренда,База/склад/производство,СМП,5,1.5,A,19
аренда,База/склад/производство,Суходольский мкр.,4,1.2,A,20
аренда,База/склад/производство,Боровский рп.,4,1.2,B,21
аренда,База/склад/производство,Перевалово с.,3,0.9,B,22
аренда,База/склад/производство,2 мкр,3,0.9,B,23
аренда,База/склад/производство,Заречный мкр.,3,0.9,B,24
аренда,База/склад/производство,микрорайон Лесобаза,3,0.9,B,25
аренда,База/склад/производство,микрорайон Энтузиастов,3,0.9,B,26
аренда,База/склад/производство,Яр с. (Тобольский тракт),3,0.9,B,27
аренда,База/склад/производство,посёлок Новорощино,3,0.9,B,28
аренда,База/склад/производство,Воровского,3,0.9,B,29
аренда,База/склад/производство,Горьковка с.,3,0.9,B,30
аренда,База/склад/производство,Чикча с.,3,0.9,B,31
аренда,База/склад/производство,Дударева д.,3,0.9,B,32
аренда,База/склад/производство,Горьковское МО,2,0.6,B,33
аренда,База/склад/производство,Новотуринский,2,0.6,B,34
аренда,База/склад/производство,Борки с.,2,0.6,B,35
аренда,База/склад/производство,Войновка мкр.,2,0.6,B,36
аренда,База/склад/производство,Ленинский округ,2,0.6,B,37
аренда,База/склад/производство,Центр: Дом печати,2,0.6,B,38
аренда,База/склад/производство,Европейский мкр.,2,0.6,B,39
аренда,База/склад/производство,микрорайон Мыс,2,0.6,C,40
аренда,База/склад/производство,микрорайон Антипино,2,0.6,C,41
аренда,База/склад/производство,Московский п.,1,0.3,C,42
аренда,База/склад/производство,микрорайон Велижанский,1,0.3,C,43
аренда,База/склад/производство,Восточный 3 мкр.,1,0.3,C,44
аренда,База/склад/производство,Парфёново мкр.,1,0.3,C,45
аренда,База/склад/производство,Ярково с.,1,0.3,C,46
аренда,База/склад/производство,микрорайон Восточный-2,1,0.3,C,47
аренда,База/склад/производство,Стрела,1,0.3,C,48
аренда,База/склад/производство,Плеханово,1,0.3,C,49
аренда,База/склад/производство,Пышминка д.,1,0.3,C,50
аренда,База/склад/производство,Сосёнка-81 с/о,1,0.3,C,51
аренда,База/склад/производство,1-й Заречный мкр,1,0.3,C,52
аренда,База/склад/производство,Восточный 2 мкр.,1,0.3,C,53
аренда,База/склад/производство,Луговое с.,1,0.3,C,54
аренда,База/склад/производство,Ембаево с.,1,0.3,C,55
аренда,База/склад/производство,Богандинский пгт,1,0.3,C,56
аренда,База/склад/производство,5-й Заречный мкр,1,0.3,C,57
аренда,База/склад/производство,Падерина д.,1,0.3,C,58
аренда,База/склад/производство,Матмасы мкр.,1,0.3,C,59
аренда,База/склад/производство,Нижние Тарманы д.,1,0.3,C,60
аренда,База/склад/производство,микрорайон Плеханова,1,0.3,C,61
аренда,База/склад/производство,Трудовик с/о,1,0.3,C,62
аренда,База/склад/производство,Россиянка с/о,1,0.3,C,63
аренда,База/склад/производство,Электрон,1,0.3,C,64
аренда,База/склад/производство,микрорайон Быкова,1,0.3,C,65
аренда,База/склад/производство,микрорайон Гилёво,1,0.3,C,66
аренда,База/склад/производство,микрорайон Тарманы,1,0.3,C,67
аренда,База/склад/производство,Автотранспортник-2 с/о,1,0.3,C,68
аренда,База/склад/производство,Патрушева д.,1,0.3,C,69
аренда,База/склад/производство,6 мкр,1,0.3,C,70
аренда,База/склад/производство,Каменка с.,1,0.3,C,71
аренда,Готовый бизнес,Центр: Драмтеатр,1,50.0,A+,1
аренда,Готовый бизнес,Тарманы мкр.,1,50.0,C,2
аренда,Коммерческий участок,Казарово мкр.,1,25.0,A+,1
аренда,Коммерческий участок,null,1,25.0,A+,2
аренда,Коммерческий участок,Центральный округ,1,25.0,A,3
аренда,Коммерческий участок,ДОК,1,25.0,C,4
аренда,Офисное помещение,Центр: КПД,153,18.4,A+,1
аренда,Офисное помещение,Центр: Исторический,149,17.9,A+,2
аренда,Офисное помещение,Центр: Драмтеатр,83,10.0,A+,3
аренда,Офисное помещение,Дом Обороны,51,6.1,A,4
аренда,Офисное помещение,Центр: Дом печати,47,5.6,A,5
аренда,Офисное помещение,Гилевская Роща,43,5.2,A,6
аренда,Офисное помещение,null,34,4.1,A,7
аренда,Офисное помещение,Восточный р-н,31,3.7,A,8
аренда,Офисное помещение,Центр: Студгородок,28,3.4,A,9
аренда,Офисное помещение,Червишевский тракт мкр.,17,2.0,B,10
аренда,Офисное помещение,Московский тракт мкр.,14,1.7,B,11
аренда,Офисное помещение,Тарманы мкр.,14,1.7,B,12
аренда,Офисное помещение,Суходольский мкр.,13,1.6,B,13
аренда,Офисное помещение,Боровский рп.,12,1.4,B,14
аренда,Офисное помещение,1 мкр,8,1.0,B,15
аренда,Офисное помещение,Маяк мкр.,7,0.8,B,16
аренда,Офисное помещение,Электрон,7,0.8,B,17
