deal_type,obj_type,grade,area_from,area_to,avg_price,deals_count
продажа,Свободного назначения,A+,51,60,10587219,37
продажа,Офисное помещение,A+,11,20,2265814,36
продажа,Торговое помещение,A+,61,70,9906983,12
продажа,Свободного назначения,A,31,40,7643490,28
продажа,Офисное помещение,A+,31,40,3588000,32
продажа,Торговое помещение,A,51,60,10111333,9
продажа,Свободного назначения,A,61,70,11179370,27
продажа,Офисное помещение,A,21,30,2228509,17
продажа,Торговое помещение,A,21,30,4038800,7
продажа,Свободного назначения,A,41,50,8448584,22
продажа,Офисное помещение,A,41,50,5162917,12
продажа,Торговое помещение,A,31,40,6657143,7
продажа,Свободного назначения,A,81,90,15291284,22
продажа,Офисное помещение,B,61,70,7264539,8
продажа,Торговое помещение,A,121,130,6250004,6
продажа,Свободного назначения,A,71,80,12506197,20
продажа,Офисное помещение,B,71,80,5007500,8
продажа,Торговое помещение,B,11,20,1412000,5
продажа,Свободного назначения,A,91,100,15079883,20
продажа,Офисное помещение,B,81,90,6500000,6
продажа,Торговое помещение,B,41,50,9675000,5
продажа,Свободного назначения,B,21,30,6104389,12
продажа,Офисное помещение,B,101,110,9366667,6
продажа,Торговое помещение,B,81,90,16620000,5
продажа,Свободного назначения,B,111,120,15941072,12
продажа,Офисное помещение,C,91,100,5850000,4
продажа,Торговое помещение,B,141,150,24129020,5
продажа,Свободного назначения,B,11,20,2430445,11
продажа,Офисное помещение,C,121,130,13875000,4
продажа,Торговое помещение,B,131,140,13500000,3
продажа,Свободного назначения,B,101,110,14951452,11
продажа,Офисное помещение,C,161,170,14200000,4
продажа,Торговое помещение,C-,1,10,3000000,2
продажа,Свободного назначения,B,1,10,335650,10
продажа,Офисное помещение,C,361,370,12666667,3
продажа,Торговое помещение,C-,71,80,12500000,2
продажа,Свободного назначения,B,131,140,15181751,10
продажа,Офисное помещение,C-,51,60,4850000,2
продажа,Торговое помещение,C-,91,100,8000000,2
продажа,Свободного назначения,C,121,130,19727972,8
продажа,Офисное помещение,C-,111,120,14700000,2
продажа,Торговое помещение,C-,101,110,18000000,2
продажа,Свободного назначения,C,231,240,13775625,8
продажа,Офисное помещение,C-,131,140,13000000,2
продажа,Торговое помещение,C-,181,190,7350000,2
продажа,Свободного назначения,C,141,150,18540833,6
продажа,Офисное помещение,C-,241,250,3850000,2
продажа,Торговое помещение,C-,221,230,30000000,2
продажа,Свободного назначения,C,241,250,17500000,6
продажа,Офисное помещение,C-,461,470,60000000,2
продажа,Торговое помещение,C-,261,270,39000000,2
продажа,Свободного назначения,C,161,170,6914000,5
продажа,Офисное помещение,C-,601,610,3140000,2
продажа,Торговое помещение,C-,301,310,57500000,2
продажа,Свободного назначения,C,191,200,9900000,4
продажа,Офисное помещение,C-,921,930,55000000,2
продажа,Торговое помещение,C-,341,350,70000000,2
продажа,Свободного назначения,C-,151,160,17000000,2
продажа,Офисное помещение,C-,1,10,1977600,1
продажа,Торговое помещение,C-,511,520,90000000,2
продажа,Свободного назначения,C-,171,180,39500000,2
продажа,Офисное помещение,C-,641,650,2355000,1
продажа,Торговое помещение,C-,1241,1250,2950000,2
продажа,Свободного назначения,C-,211,220,15000000,2
продажа,Торговое помещение,C-,1721,1730,50000000,2
продажа,Свободного назначения,C-,221,230,10500000,2
продажа,Торговое помещение,C-,161,170,19000000,1
продажа,Свободного назначения,C-,251,260,14400000,2
продажа,Торговое помещение,C-,231,240,36000000,1
продажа,Свободного назначения,C-,461,470,12000000,2
продажа,Торговое помещение,C-,291,300,11755000,1
продажа,Свободного назначения,C-,531,540,147680000,2
продажа,Свободного назначения,C-,631,640,140800000,2
продажа,Свободного назначения,C-,801,810,22000000,2
продажа,Свободного назначения,C-,1181,1190,88400000,2
продажа,Свободного назначения,C-,1501,1510,25730000,2
продажа,Свободного назначения,C-,181,190,8000000,1
продажа,Свободного назначения,C-,291,300,12580000,1
продажа,Свободного назначения,C-,311,320,60000000,1
продажа,Свободного назначения,C-,891,900,47000000,1
продажа,Свободного назначения,C-,1951,1960,164378496,1
аренда,Свободного назначения,A+,51,60,69803,75
аренда,Торговое помещение,A+,31,40,47681,36
аренда,Офисное помещение,A+,11,20,16692,74
аренда,Свободного назначения,A,41,50,57421,53
аренда,Торговое помещение,A+,41,50,67179,34
аренда,Офисное помещение,A,21,30,25630,27
аренда,Свободного назначения,A,31,40,48363,51
аренда,Торговое помещение,A,71,80,89879,24
аренда,Офисное помещение,A,31,40,36303,22
аренда,Свободного назначения,A,21,30,30615,46
аренда,Торговое помещение,A,81,90,89499,24
аренда,Офисное помещение,A,51,60,43581,20
аренда,Свободного назначения,A,61,70,77687,40
аренда,Торговое помещение,A,51,60,64105,22
аренда,Офисное помещение,A,1,10,9391,16
аренда,Свободного назначения,A,71,80,81847,35
аренда,Торговое помещение,A,21,30,38762,21
аренда,Офисное помещение,B,41,50,46355,14
аренда,Свободного назначения,B,111,120,111738,34
аренда,Торговое помещение,A,61,70,89768,18
аренда,Офисное помещение,B,61,70,82030,14
аренда,Свободного назначения,B,91,100,109576,24
аренда,Торговое помещение,A,91,100,141209,17
аренда,Офисное помещение,B,91,100,96667,12
аренда,Свободного назначения,B,81,90,93323,22
аренда,Торговое помещение,B,101,110,126622,15
аренда,Офисное помещение,B,71,80,67951,9
аренда,Свободного назначения,B,131,140,164392,22
аренда,Торговое помещение,B,11,20,25433,12
аренда,Офисное помещение,C,81,90,80458,6
аренда,Свободного назначения,B,11,20,17874,20
аренда,Торговое помещение,B,141,150,191618,10
аренда,Офисное помещение,C,131,140,121788,4
аренда,Свободного назначения,B,101,110,108799,20
аренда,Торговое помещение,B,111,120,120936,9
аренда,Офисное помещение,C,141,150,175455,4
аренда,Свободного назначения,B,141,150,117500,20
аренда,Торговое помещение,C,131,140,174080,8
аренда,Офисное помещение,C,151,160,149500,4
аренда,Свободного назначения,B,1,10,15778,18
аренда,Торговое помещение,C,1,10,30000,6
аренда,Офисное помещение,C,171,180,174975,4
аренда,Свободного назначения,C,121,130,112688,12
аренда,Торговое помещение,C,151,160,147500,4
аренда,Офисное помещение,C,181,190,134500,4
аренда,Свободного назначения,C,151,160,128000,12
аренда,Торговое помещение,C,161,170,191800,4
