deal_type,obj_type,district,area_range,count,min_price_sqm,median_price_sqm,max_price_sqm,min_price,median_price,max_price
аренда,Офисное помещение,Центр: КПД,11-20,61,468,852,1871,9360,14000,25000
продажа,База/склад/производство,Тюменская слобода мкр.,1-10,48,25455,96250,145000,140000,349000,720000
продажа,База/склад/производство,Дом Обороны,1-10,37,31579,77925,161290,252000,355000,650000
продажа,База/склад/производство,Дударева д.,1-10,36,58333,91667,119565,189000,335000,550000
аренда,Офисное помещение,Центр: Исторический,11-20,35,800,1500,1800,12750,22650,29760
продажа,Свободного назначения,Плеханово,61-70,35,141440,183844,250495,9100500,11960000,17700000
аренда,Офисное помещение,Центр: КПД,21-30,26,699,800,1393,17600,23562,40000
продажа,Свободного назначения,Плеханово,81-90,26,132208,173516,220000,11042000,15095000,17912400
продажа,Свободного назначения,Плеханово,71-80,26,140228,187053,248060,9980000,14190000,20073000
продажа,База/склад/производство,МЖК,1-10,22,47263,60571,171429,191200,269400,1100000
аренда,Офисное помещение,Центр: КПД,31-40,21,681,770,1210,23000,27700,39200
продажа,Офисное помещение,Центр: Исторический,11-20,21,123656,180000,211200,1890000,2898000,3564000
продажа,Свободного назначения,Плеханово,21-30,20,207000,252003,333333,4374000,6257000,8000000
аренда,Свободного назначения,Плеханово,81-90,19,502,1321,2300,45000,110000,201710
продажа,Свободного назначения,Плеханово,51-60,18,150607,194982,243304,9178000,11221500,13990000
продажа,База/склад/производство,5-й Заречный мкр,1-10,17,81429,114516,171875,250000,390000,570000
аренда,Офисное помещение,Центр: Исторический,31-40,16,650,1125,1800,22750,41000,69480
продажа,База/склад/производство,ДОК,1-10,16,69444,98039,122449,200000,370000,650000
продажа,Коммерческий участок,Борки с.,9991-10000,16,50,50,130,500000,500000,1300000
аренда,Свободного назначения,Плеханово,61-70,15,600,1091,2290,37500,73500,150000
продажа,База/склад/производство,Центр: Дом печати,1-10,15,90000,121212,220532,300000,590000,830000
продажа,База/склад/производство,Заречный мкр.,1-10,15,65152,88788,133333,215000,350000,400000
продажа,Свободного назначения,Плеханово,41-50,15,152837,224719,252580,6896000,10516000,12424500
аренда,Свободного назначения,Центр: КПД,71-80,14,867,1319,2500,65000,100000,200000
аренда,Офисное помещение,Восточный р-н,11-20,14,1100,1150,1200,15120,19140,24840
продажа,Свободного назначения,Плеханово,31-40,14,192196,229509,270011,6871000,9047000,10241500
продажа,Коммерческий участок,null,9991-10000,14,250,1040,1700,2500000,10400000,17000000
продажа,База/склад/производство,Плеханово,1-10,14,58140,86538,126923,250000,350000,450000
продажа,Офисное помещение,Боровский рп.,1-10,14,153434,154638,155812,1324401,1496800,1626400
продажа,База/склад/производство,Европейский мкр.,1-10,13,75556,120000,370000,300000,540000,1900000
продажа,Коммерческий участок,null,4991-5000,13,80,1500,1900,399999,7500000,9500000
аренда,Свободного назначения,Центр: Драмтеатр,91-100,12,812,1600,2001,80000,160000,200400
аренда,Офисное помещение,Центр: Исторический,61-70,12,746,1291,2500,49600,90350,170750
аренда,Офисное помещение,Дом Обороны,21-30,12,743,1000,1300,16500,26000,40170
продажа,Свободного назначения,Тюменская слобода мкр.,31-40,12,220853,267647,328084,8600000,10100000,12500000
аренда,Свободного назначения,Центр: КПД,41-50,11,652,1163,1725,30000,53750,79000
аренда,Офисное помещение,Гилевская Роща,11-20,11,473,796,1200,7868,14000,18700
аренда,Офисное помещение,Дом Обороны,11-20,11,737,1118,1659,12500,19000,30380
аренда,Свободного назначения,Плеханово,51-60,11,800,1391,1816,41700,75000,95000
аренда,Свободного назначения,Плеханово,91-100,11,500,1281,1706,46100,120000,160000
аренда,Офисное помещение,null,11-20,11,784,800,1200,11440,14040,20000
продажа,База/склад/производство,Центр: КПД,1-10,11,85714,122500,154724,290000,420000,660000
продажа,База/склад/производство,Центр: Драмтеатр,1-10,11,122222,221757,257576,530000,775000,1300000
продажа,Свободного назначения,Плеханово,101-110,11,148501,150304,162004,15141500,16089500,17526000
продажа,Свободного назначения,Лесобаза мкр.,61-70,11,112195,170427,200571,6900000,10500000,14040000
продажа,Офисное помещение,Восточный р-н,11-20,11,125000,125000,135000,1650000,2262000,2691000
продажа,Офисное помещение,Центр: КПД,31-40,11,90000,95000,216000,2835000,3100000,7538400
аренда,Свободного назначения,Плеханово,71-80,10,800,1000,1250,58350,76800,100000
аренда,Свободного назначения,5-й Заречный мкр,111-120,10,500,1062,1561,59800,120000,180000
продажа,База/склад/производство,Червишевский тракт мкр.,1-10,10,71605,111111,173077,290000,550000,850000
продажа,База/склад/производство,Тарманы мкр.,1-10,10,65000,90244,102564,260000,320000,400000
продажа,Свободного назначения,Плеханово,91-100,10,124729,154261,222505,11500000,14914000,20886500
продажа,Свободного назначения,Мыс мкр.,81-90,10,95096,226328,245417,7950000,19630000,20620000
продажа,Свободного назначения,Лесобаза мкр.,51-60,10,165217,180007,208606,8550000,10300000,12120000
продажа,База/склад/производство,Тюменский 3-й мкр.,1-10,10,85714,111111,139286,250000,390000,650000
продажа,Офисное помещение,Центр: КПД,21-30,10,60000,93000,252000,1278000,2046000,6199200
продажа,Офисное помещение,Восточный р-н,21-30,10,120000,125000,130000,2736000,3237000,3687500
аренда,Офисное помещение,Центр: Исторический,21-30,9,760,1273,1600,16100,31770,46400
аренда,Торговое помещение,Центр: Драмтеатр,81-90,9,614,1809,2199,51000,155000,186000
аренда,Свободного назначения,Дударева д.,41-50,9,699,1300,2000,30174,65000,82000
аренда,Офисное помещение,Центр: КПД,51-60,9,550,840,1000,30800,50000,54000
аренда,Торговое помещение,Центр: Исторический,11-20,9,529,862,1244,8000,15000,25000
аренда,Торговое помещение,Плеханово,51-60,9,493,1300,1501,30000,68510,87000
аренда,Свободного назначения,Дом Обороны,51-60,9,540,1167,1500,30000,63000,85800
аренда,Свободного назначения,Тюменская слобода мкр.,51-60,9,1415,1800,2000,75000,105000,120000
аренда,Свободного назначения,Центр: КПД,81-90,9,900,1200,1338,81000,107520,120000
аренда,Свободного назначения,Центр: КПД,31-40,9,770,1375,2196,25487,54900,89600
аренда,Офисное помещение,Центр: КПД,41-50,9,800,1000,1500,35200,42300,73500
аренда,Офисное помещение,Восточный р-н,21-30,9,1100,1200,1200,24640,29040,35400
продажа,Свободного назначения,Плеханово,111-120,9,145992,163312,193999,16812000,19348000,22500000
продажа,Свободного назначения,Дом Обороны,31-40,9,90116,145223,341426,2976000,5199000,13500000
продажа,Свободного назначения,Дударева д.,71-80,9,168363,196638,273103,12240000,14703000,20592000
продажа,Свободного назначения,Европейский мкр.,51-60,9,192308,250000,325464,11500000,14900000,19281500
аренда,Свободного назначения,Центр: Драмтеатр,131-140,8,331,1233,2500,45000,170000,346000
аренда,Свободного назначения,5-й Заречный мкр,91-100,8,499,1217,1490,47000,119210,149000
аренда,Свободного назначения,Лесобаза мкр.,61-70,8,725,1248,1727,50000,85000,109000
аренда,Торговое помещение,Дом Обороны,71-80,8,803,2100,3000,65000,160650,232500
