Тип объекта;Тип заявки;Район;Площадь;Цена
Свободного назначения;Сдать в аренду;6 мкр;113.5;50000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;116.0;100000
Торговое помещение;Сдать в аренду;Центр: КПД;127.0;127000
Торговое помещение;Сдать в аренду;Центр: КПД;585.4;460000
Свободного назначения;Сдать в аренду;Нефтяников мкр.;35.5;30000
Свободного назначения;Сдать в аренду;Рощино мкр.;60.0;50000
Свободного назначения;Сдать в аренду;Центр: КПД;81.0;120000
Свободного назначения;Сдать в аренду;Дударева д.;113.5;80000
Торговое помещение;Сдать в аренду;Центр: Исторический;117.9;153270
Торговое помещение;Сдать в аренду;Европейский мкр.;34.7;86750
Свободного назначения;Сдать в аренду;Центр: Исторический;43.0;77400
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;56.7;73710
База/склад/производство;Сдать в аренду;Лесобаза мкр.;135.0;75000
Торговое помещение;Сдать в аренду;null;70.0;90000
Свободного назначения;Сдать в аренду;Московский тракт мкр.;700.0;300000
Торговое помещение;Сдать в аренду;Каменка с.;62.8;50000
Свободного назначения;Сдать в аренду;Суходольский мкр.;219.0;120000
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;12000
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;12000
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;12000
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;12000
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;25000
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;25000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;53.4;160500
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;56.0;45000
Свободного назначения;Сдать в аренду;МЖК;43.0;60000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;174.0;250000
Офисное помещение;Сдать в аренду;Центр: Студгородок;67.0;80000
Офисное помещение;Сдать в аренду;Центр: Исторический;380.0;380000
Торговое помещение;Сдать в аренду;Лесобаза мкр.;127.0;165000
Свободного назначения;Сдать в аренду;Центр: КПД;24.5;25000
Свободного назначения;Сдать в аренду;Центр: КПД;27.0;27000
Торговое помещение;Сдать в аренду;Южный;37.0;39000
Свободного назначения;Сдать в аренду;микрорайон Тюменский-1;182.6;120000
Свободного назначения;Сдать в аренду;Южный;105.0;160000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;150.0;130000
Свободного назначения;Сдать в аренду;6 мкр;1412.0;1270800
Свободного назначения;Сдать в аренду;Электрон;55.0;45000
Офисное помещение;Сдать в аренду;Казарово мкр.;45.0;50000
Свободного назначения;Сдать в аренду;Казарово мкр.;45.0;50000
Офисное помещение;Сдать в аренду;Центр: КПД;29.0;35000
Свободного назначения;Сдать в аренду;Лесобаза мкр.;139.5;111600
Торговое помещение;Сдать в аренду;микрорайон ДОК;78.5;78500
Свободного назначения;Сдать в аренду;Московский тракт мкр.;56.0;45000
Офисное помещение;Сдать в аренду;Центр: Исторический;3981.0;2988000
Торговое помещение;Сдать в аренду;Центр: КПД;20.0;50000
Торговое помещение;Сдать в аренду;Бабарынка;285.0;228000
Торговое помещение;Сдать в аренду;Бабарынка;140.0;140000
Торговое помещение;Сдать в аренду;Падерина д.;61.8;35000
Торговое помещение;Сдать в аренду;Центр: Дом печати;1424.0;850000
Торговое помещение;Сдать в аренду;Плеханово;75.6;75000
Торговое помещение;Сдать в аренду;Ново-Комарово;103.5;62100
Торговое помещение;Сдать в аренду;ДОК;76.7;61280
Торговое помещение;Сдать в аренду;ДОК;96.3;77040
Торговое помещение;Сдать в аренду;ДОК;54.5;43600
Торговое помещение;Сдать в аренду;Ново-Комарово;75.7;45420
Торговое помещение;Сдать в аренду;Ново-Комарово;96.2;57720
Свободного назначения;Сдать в аренду;Центр: Дом печати;306.0;65000
Свободного назначения;Сдать в аренду;микрорайон Войновка;103.4;103000
Офисное помещение;Сдать в аренду;5-й Заречный мкр;250.0;125000
База/склад/производство;Сдать в аренду;null;1069.1;110000
База/склад/производство;Сдать в аренду;null;2000.0;190000
Свободного назначения;Сдать в аренду;Нефтяников мкр.;652.0;652000
Свободного назначения;Сдать в аренду;Нефтяников мкр.;535.0;535000
Офисное помещение;Сдать в аренду;Центр: Дом печати;144.4;231040
Офисное помещение;Сдать в аренду;микрорайон Тарманы;84.9;33000
Свободного назначения;Сдать в аренду;микрорайон Войновка;489.4;350000
Офисное помещение;Сдать в аренду;Центральный округ;120.0;100000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;62.4;50000
Свободного назначения;Сдать в аренду;Тюменский 3-й мкр.;90.0;75000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;136.0;45000
Торговое помещение;Сдать в аренду;Ожогина д.;333.0;333000
Торговое помещение;Сдать в аренду;Московский п.;280.0;560000
Свободного назначения;Сдать в аренду;6-й микрорайон;367.4;200000
Свободного назначения;Сдать в аренду;Дом Обороны;1000.0;500000
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;300.0;140000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;24.5;42000
База/склад/производство;Сдать в аренду;микрорайон Матмасы;840.0;1000000
Свободного назначения;Сдать в аренду;Центр: Исторический;700.0;700000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;228.1;456000
Свободного назначения;Сдать в аренду;Заречный мкр.;225.7;120000
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;59.5;72000
База/склад/производство;Сдать в аренду;Московский п.;345.0;552000
Свободного назначения;Сдать в аренду;Гилевская Роща;240.0;60000
Свободного назначения;Сдать в аренду;Центр: Исторический;98.5;98000
Торговое помещение;Сдать в аренду;Центр: Исторический;300.0;300000
Свободного назначения;Сдать в аренду;Матмасы мкр.;448.0;448000
Свободного назначения;Сдать в аренду;Дом Обороны;136.0;130000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;304.0;456600
База/склад/производство;Сдать в аренду;Антипино мкр.;126.0;55000
Свободного назначения;Сдать в аренду;Центр: КПД;895.0;550000
Торговое помещение;Сдать в аренду;Центр: Драмтеатр;250.0;137500
Свободного назначения;Сдать в аренду;Маяк мкр.;278.0;146000
Свободного назначения;Сдать в аренду;Дом Обороны;70.1;50000
Торговое помещение;Сдать в аренду;Червишево с.;153.0;55000
Офисное помещение;Сдать в аренду;Бабарынка;85.0;42500
Торговое помещение;Сдать в аренду;Европейский мкр.;91.4;137000
Торговое помещение;Сдать в аренду;Комарово Парк мкр.;275.0;330000
Свободного назначения;Сдать в аренду;Центр: КПД;650.0;357500
Свободного назначения;Сдать в аренду;null;473.0;100000
Свободного назначения;Сдать в аренду;Центр: Исторический;1100.0;1430000
Офисное помещение;Сдать в аренду;Южный;880.0;704000
Офисное помещение;Сдать в аренду;Центр: Драмтеатр;67.7;67700
Свободного назначения;Сдать в аренду;Центр: КПД;100.0;180000
Свободного назначения;Сдать в аренду;Центр: Дом печати;280.6;280000
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;446.0;500000
Свободного назначения;Сдать в аренду;Березняковский мкр. (Березняки);275.0;278000
Офисное помещение;Сдать в аренду;Березняковский мкр. (Березняки);138.0;138000
Офисное помещение;Сдать в аренду;Европейский мкр.;75.3;100000
