Тип объекта;Тип заявки;Район;Площадь;Цена
Торговое помещение;Сдать в аренду;Дом Обороны;86.0;60000
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;11880
Офисное помещение;Сдать в аренду;Центр: КПД;20.0;9360
Свободного назначения;Сдать в аренду;5-й Заречный мкр;119.6;59800
Свободного назначения;Сдать в аренду;Тюменская слобода мкр.;68.6;80000
Свободного назначения;Сдать в аренду;Раздолье мкр.;150.0;65000
Торговое помещение;Сдать в аренду;Южный;77.0;75000
Торговое помещение;Сдать в аренду;Дом Обороны;96.0;96000
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;150.0;70000
Торговое помещение;Сдать в аренду;Лесобаза мкр.;61.6;55000
Свободного назначения;Сдать в аренду;2-й Заречный мкр;60.0;60000
Торговое помещение;Сдать в аренду;Мыс мкр.;75.2;60000
Торговое помещение;Сдать в аренду;1-й Заречный мкр;93.5;116875
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;280.0;292600
Свободного назначения;Сдать в аренду;Центр: Исторический;319.0;400000
Торговое помещение;Сдать в аренду;Центр: КПД;92.0;138000
Офисное помещение;Сдать в аренду;Парфёново мкр.;41.0;30000
Свободного назначения;Сдать в аренду;2-й Заречный мкр;154.0;50000
Торговое помещение;Сдать в аренду;Матмасы мкр.;33.0;39600
Торговое помещение;Сдать в аренду;Плеханово;50.0;60000
Торговое помещение;Сдать в аренду;6 мкр;40.0;30000
Офисное помещение;Сдать в аренду;Центр: Исторический;600.0;560780
Свободного назначения;Сдать в аренду;Центр: Дом печати;65.8;63000
Свободного назначения;Сдать в аренду;Центр: Дом печати;155.0;120000
Торговое помещение;Сдать в аренду;Центр: КПД;45.0;65000
Офисное помещение;Сдать в аренду;Центр: Исторический;51.0;30000
Свободного назначения;Сдать в аренду;Центр: КПД;36.0;54900
Офисное помещение;Сдать в аренду;Центр: Исторический;185.0;123000
Свободного назначения;Сдать в аренду;Центр: Исторический;50.3;125000
Офисное помещение;Сдать в аренду;МЖК;142.0;128760
Свободного назначения;Сдать в аренду;Червишевский тракт мкр.;219.3;300000
Торговое помещение;Сдать в аренду;3-й Заречный мкр;93.7;94000
Торговое помещение;Сдать в аренду;5-й Заречный мкр;104.0;135000
Офисное помещение;Сдать в аренду;Центр: Исторический;147.0;222150
Офисное помещение;Сдать в аренду;Центр: Исторический;154.0;130000
Торговое помещение;Сдать в аренду;микрорайон Тюменский-1;29.0;34800
Свободного назначения;Сдать в аренду;микрорайон Тюменский-1;60.0;73800
Свободного назначения;Сдать в аренду;Центр: Драмтеатр;79.0;118500
Свободного назначения;Сдать в аренду;Гилевская Роща;640.0;250000
Свободного назначения;Сдать в аренду;Заречный мкр.;76.0;70000
Свободного назначения;Сдать в аренду;Комарово Парк мкр.;51.4;40000
Свободного назначения;Сдать в аренду;Центр: Исторический;146.0;130000
Торговое помещение;Сдать в аренду;Европейский мкр.;72.6;110000
База/склад/производство;Сдать в аренду;Гилевская Роща;645.0;400000
