obj_type,district,count,rank
Свободного назначения,Центр: КПД,24,1
Свободного назначения,Центр: Драмтеатр,21,2
Свободного назначения,Плеханово,18,3
Свободного назначения,Тюменская слобода мкр.,16,4
Свободного назначения,Центр: Исторический,16,5
Свободного назначения,5-й Заречный мкр,13,6
Свободного назначения,Центр: Дом печати,13,7
Свободного назначения,Тюменский 3-й мкр.,12,8
Свободного назначения,Дом Обороны,11,9
Свободного назначения,Европейский мкр.,9,10
Свободного назначения,3-й Заречный мкр,8,11
Свободного назначения,МЖК,7,12
Свободного назначения,Московский тракт мкр.,7,13
Свободного назначения,Комарово Парк мкр.,6,14
Свободного назначения,Ново-Патрушево мкр.,6,15
Свободного назначения,1-й Заречный мкр,5,16
Свободного назначения,2-й Заречный мкр,5,17
Свободного назначения,Восточный 2 мкр.,5,18
Свободного назначения,Червишевский тракт мкр.,5,19
Свободного назначения,микрорайон Тюменский-1,5,20
Свободного назначения,Тюменский 1-й мкр.,4,21
Свободного назначения,Центр: Студгородок,4,22
Свободного назначения,3 мкр,3,23
Свободного назначения,ДОК,3,24
Свободного назначения,Заречный мкр.,3,25
Свободного назначения,1 мкр,2,26
Свободного назначения,2 мкр,2,27
Свободного назначения,6-й микрорайон,2,28
Свободного назначения,Боровский рп.,2,29
Свободного назначения,Гилевская Роща,2,30
Свободного назначения,Лесобаза мкр.,2,31
Свободного назначения,Лесобаза: Казачьи Луга мкр.,2,32
Свободного назначения,Мыс мкр.,2,33
Свободного назначения,Ново-Комарово,2,34
Свободного назначения,Патрушева д.,2,35
Свободного назначения,СМП,2,36
Свободного назначения,Тюменский 2-й мкр.,2,37
Свободного назначения,Центральный округ,2,38
Свободного назначения,микрорайон Зарека,2,39
Свободного назначения,микрорайон Метелёва,2,40
Свободного назначения,4 мкр,1,41
Свободного назначения,6 мкр,1,42
Свободного назначения,Бабарынка,1,43
Свободного назначения,Ватутина мкр.,1,44
Свободного назначения,Воровского,1,45
Свободного назначения,Восточный 3 мкр.,1,46
Свободного назначения,Комарово мкр.,1,47
Свободного назначения,Матмасы мкр.,1,48
Свободного назначения,Московский п.,1,49
Свободного назначения,Нижняя Тавда с.,1,50
Свободного назначения,Раздолье мкр.,1,51
Свободного назначения,Суходольский мкр.,1,52
Свободного назначения,Трудовик с/о,1,53
Свободного назначения,Тура мкр.,1,54
Свободного назначения,У озера квартал,1,55
Свободного назначения,Электрон,1,56
Свободного назначения,Югра мкр.,1,57
Свободного назначения,Южный,1,58
Свободного назначения,микрорайон Антипино,1,59
Свободного назначения,микрорайон Восточный,1,60
Свободного назначения,микрорайон Лесобаза,1,61
Свободного назначения,микрорайон Матмасы,1,62
Свободного назначения,микрорайон Парфёново,1,63
Свободного назначения,микрорайон Тарманы,1,64
Свободного назначения,микрорайон Тюменский-2,1,65
