Тип объекта;Тип заявки;Район;Площадь;Цена
Свободного назначения;Продажа;Андреевский;150.0;12150000
Свободного назначения;Продажа;Андреевский;150.0;12150000
Готовый бизнес;Продажа;Дом Обороны;1760.0;22800000
Офисное помещение;Продажа;Центр: Драмтеатр;75.0;9350000
Свободного назначения;Продажа;жилой комплекс Дом на Большой Спасской;227.5;47411000
Коммерческий участок;Продажа;Исетское;650.0;2200000
Свободного назначения;Продажа;Червишевский тракт мкр.;505.0;48000000
База/склад/производство;Продажа;Шорохово с.;1174.0;9000000
Свободного назначения;Продажа;Лесобаза: Тура мкр;35.6;5300000
Офисное помещение;Продажа;Центр: Дом печати;51.8;7850000
Офисное помещение;Продажа;Центр: КПД;233.0;12500000
Свободного назначения;Продажа;Пышма д.;13824.0;22500000
Офисное помещение;Продажа;Центр: Исторический;334.0;21000000
Офисное помещение;Продажа;Лесобаза: Тура мкр;141.0;19000000
Свободного назначения;Продажа;микрорайон Мыс;110.2;11300000
Торговое помещение;Продажа;Дом Обороны;35.6;7000000
Свободного назначения;Продажа;Центр: Дом печати;42.1;15500000
Свободного назначения;Продажа;Центр: Дом печати;37.0;4550000
Торговое помещение;Продажа;Центр: Студгородок;58.0;12000000
Свободного назначения;Продажа;Патрушева д.;1854.6;118000000
Офисное помещение;Продажа;Центр: КПД;486.0;40000000
Офисное помещение;Продажа;Центр: Драмтеатр;61.3;9800000
Готовый бизнес;Продажа;Центр: Дом печати;50.0;2300000
Свободного назначения;Продажа;2 мкр;2544.4;150000000
Свободного назначения;Продажа;Дом Обороны;13141.0;690000000
Торговое помещение;Продажа;Дом Обороны;387.4;90000000
Торговое помещение;Продажа;МЖК;20137.6;199000000
Свободного назначения;Продажа;Центр: КПД;101.8;27900000
Торговое помещение;Продажа;Долина Есаулова КП;220.0;3670000
Офисное помещение;Продажа;Центр: Драмтеатр;58.2;9000000
Свободного назначения;Продажа;Центр: Исторический;130.0;13000000
Офисное помещение;Продажа;Комарово мкр.;554.0;89999000
Свободного назначения;Продажа;Комарово мкр.;1000.0;188999008
Свободного назначения;Продажа;Воровского;1189.7;120000000
Свободного назначения;Продажа;Спутник с/о;348.0;17000000
Свободного назначения;Продажа;Дом Обороны;265.0;23000000
Свободного назначения;Продажа;5 мкр;138.1;27000000
Свободного назначения;Продажа;МЖК;38.1;10000000
База/склад/производство;Продажа;Центр: КПД;7.0;660000
Торговое помещение;Продажа;Падерина д.;61.8;5600000
Свободного назначения;Продажа;Восточный 2 мкр.;116.0;25000000
Свободного назначения;Продажа;Центр: Дом печати;306.3;4600000
База/склад/производство;Продажа;5-й Заречный мкр;1203.6;70000000
Офисное помещение;Продажа;Центр: КПД;440.0;40000000
Торговое помещение;Продажа;Стрела;120.0;10800000
Свободного назначения;Продажа;Велижаны с.;237.0;11900000
База/склад/производство;Продажа;Тарманы мкр.;720.9;85000000
Торговое помещение;Продажа;Тарманы мкр.;1364.0;170000000
Торговое помещение;Продажа;Дом Обороны;1042.2;90000000
Свободного назначения;Продажа;Червишевский тракт мкр.;836.0;62000000
Офисное помещение;Продажа;Центр: Исторический;1894.0;100000000
Офисное помещение;Продажа;Дударева д.;1715.0;308700000
