Тип объекта;Тип заявки;Район;Площадь;Цена
Свободного назначения;Продажа;Южный;57.5;7900000
Офисное помещение;Продажа;Центр: Исторический;102.5;16000000
База/склад/производство;Продажа;Дом Обороны;4.8;335000
Торговое помещение;Продажа;3-й Заречный мкр;2786.6;1000000
Торговое помещение;Продажа;Тюменский 2-й мкр.;136.0;15000000
База/склад/производство;Продажа;Заречный мкр.;3.3;250000
База/склад/производство;Продажа;Заречный мкр.;3.3;215000
Офисное помещение;Продажа;Дударева д.;66.1;9000000
Свободного назначения;Продажа;Лесобаза мкр.;100.9;10750000
Офисное помещение;Продажа;Центр: КПД;101.7;8100000
Свободного назначения;Продажа;Ново-Патрушево мкр.;97.0;21000000
Свободного назначения;Продажа;Лесобаза мкр.;61.5;6900000
Торговое помещение;Продажа;6 мкр;86.0;18550000
Свободного назначения;Продажа;Ново-Патрушево мкр.;51.1;9700000
Офисное помещение;Продажа;Центр: КПД;19.4;1890000
Офисное помещение;Продажа;Центр: КПД;32.6;3100000
Офисное помещение;Продажа;Центр: Дом печати;100.8;3700000
Свободного назначения;Продажа;2-й Заречный мкр;118.6;4250000
Свободного назначения;Продажа;Южный;149.9;4100000
Офисное помещение;Продажа;Центр: Исторический;41.8;5500000
Офисное помещение;Продажа;Центр: Драмтеатр;103.3;4000000
Торговое помещение;Продажа;Центр: Исторический;12.5;980000
Офисное помещение;Продажа;Тюменский 1-й мкр.;134.6;13000000
Офисное помещение;Продажа;Центр: Дом печати;364.5;3100000
Торговое помещение;Продажа;Центр: Исторический;342.4;70000000
Свободного назначения;Продажа;Воровского;191.3;12500000
База/склад/производство;Продажа;жилой комплекс Речной Порт;3.6;350000
База/склад/производство;Продажа;Горьковка с.;6156.0;13500000
Свободного назначения;Продажа;Тюменский 1-й мкр.;164.0;1135000
Свободного назначения;Продажа;1 мкр;49.8;5150000
Свободного назначения;Продажа;Дом Обороны;134.7;5500000
Торговое помещение;Продажа;Комарово Парк мкр.;307.0;57500000
Свободного назначения;Продажа;6 мкр;57.0;7750000
Торговое помещение;Продажа;Салаирка с.;189.0;7350000
База/склад/производство;Продажа;Европейский мкр.;4.5;535000
Торговое помещение;Продажа;6 мкр;511.4;90000000
Свободного назначения;Продажа;ДОК;96.1;11000000
Свободного назначения;Продажа;Центр: Исторический;258.0;14400000
Свободного назначения;Продажа;Центр: Драмтеатр;195.5;7300000
Торговое помещение;Продажа;Югра мкр.;100.1;8000000
База/склад/производство;Продажа;МЖК;2.7;240000
Торговое помещение;Продажа;null;1247.0;2950000
Торговое помещение;Продажа;Восточный р-н;2302.6;75000000
Свободного назначения;Продажа;2 мкр;898.8;47000000
Свободного назначения;Продажа;Боровский рп.;134.0;5650000
База/склад/производство;Продажа;Тюменская слобода мкр.;2.3;250000
Торговое помещение;Продажа;Плеханово;68.0;14950000
Свободного назначения;Продажа;Южный;231.6;19000000
Торговое помещение;Продажа;Центр: КПД;22.8;4200000
База/склад/производство;Продажа;Ново-Комарово;3.6;280000
Свободного назначения;Продажа;МЖК;33.3;7500000
Свободного назначения;Продажа;Югра мкр.;1185.0;88400000
Свободного назначения;Продажа;Центр: Исторический;64.5;18800000
Офисное помещение;Продажа;Центр: Драмтеатр;13.4;2225000
База/склад/производство;Продажа;Центр: Дом печати;8.0;720000
Свободного назначения;Продажа;3 мкр;231.0;9300000
Свободного назначения;Продажа;Центр: Дом печати;76.7;5050000
База/склад/производство;Продажа;Дом Обороны;3.7;259000
Готовый бизнес;Продажа;Дербыши д.;3500.0;10000000
Торговое помещение;Продажа;микрорайон Антипино;68.8;5891900
База/склад/производство;Продажа;Центр: Дом печати;3.3;300000
База/склад/производство;Продажа;Тюменская слобода мкр.;3.1;280000
Торговое помещение;Продажа;3-й Заречный мкр;58.1;2900000
Офисное помещение;Продажа;2 мкр;16.4;1870000
База/склад/производство;Продажа;5-й Заречный мкр;4.3;400000
Торговое помещение;Продажа;Перевалово с.;123.1;12
Свободного назначения;Продажа;Центр: Исторический;87.9;4000000
Свободного назначения;Продажа;Тюменский 3-й мкр.;109.4;12800000
Офисное помещение;Продажа;1 мкр;75.7;4500000
Офисное помещение;Продажа;1 мкр;78.2;4830000
База/склад/производство;Продажа;Европейский мкр.;3.5;350000
Свободного назначения;Продажа;Маяк мкр.;130.0;6800000
Свободного назначения;Продажа;3 мкр;49.6;7500000
Офисное помещение;Продажа;2 мкр;16.2;1750000
База/склад/производство;Продажа;Матмасы мкр.;7.6;345000
Свободного назначения;Продажа;У озера квартал;64.0;6700000
Коммерческий участок;Продажа;Центр: Исторический;5001.0;7500000
База/склад/производство;Продажа;Тюменская слобода мкр.;2.4;270000
Офисное помещение;Продажа;Центр: Драмтеатр;40.1;540000
Офисное помещение;Продажа;Центр: Драмтеатр;50.8;5550000
База/склад/производство;Продажа;Центр: КПД;4.9;420000
Свободного назначения;Продажа;3-й Заречный мкр;39.8;7960000
Свободного назначения;Продажа;3-й Заречный мкр;130.7;37930000
Свободного назначения;Продажа;3-й Заречный мкр;2786.6;14500000
Свободного назначения;Продажа;3-й Заречный мкр;44.3;9940920
Свободного назначения;Продажа;3-й Заречный мкр;78.8;16707724
